Rk,Player,SO,"App,Dec",IP,Date,Age,Team,Unnamed: 8,Opp,Result,"App,Dec.1",IP.1,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
31,Taj Bradley,6,"GS-7, L",7.0,2025-05-27,24-068,TBR,,MIN,"L, 2-4","GS-7, L",7.0,5,3,2,1,1,1,0,6,1,0,0,28,7,P
32,Corbin Burnes,6,GS-7,7.0,2025-05-27,30-217,ARI,,PIT,"L, 6-9",GS-7,7.0,6,2,2,0,1,2,0,6,1,0,0,30,9,P
33,Luis Castillo,6,GS-6,6.0,2025-05-25,32-164,SEA,@,HOU,"L, 3-5",GS-6,6.0,9,3,3,0,0,1,0,6,0,0,0,27,10,P
34,Patrick Corbin,6,GS-6,5.1,2025-05-25,35-310,TEX,@,CHW,"W, 5-4",GS-6,5.1,5,3,3,0,2,1,0,6,0,0,0,22,6,P
35,Bowden Francis,6,GS-6,5.0,2025-05-27,29-035,TOR,@,TEX,"L, 0-2",GS-6,5.0,3,0,0,0,0,1,0,6,0,0,0,19,4,P
36,Kevin Gausman,6,"GS-8, W",8.0,2025-05-26,34-140,TOR,@,TEX,"W, 2-1","GS-8, W",8.0,5,1,1,0,1,0,0,6,0,0,0,29,5,P
37,Logan Henderson,6,GS-5,5.0,2025-05-25,23-084,MIL,@,PIT,"W, 6-5",GS-5,5.0,5,1,1,0,1,2,0,6,0,0,0,22,7,P
38,Cade Horton,6,GS-7,6.0,2025-05-27,23-280,CHC,,COL,"W, 4-3 (11)",GS-7,6.0,4,2,2,0,1,1,0,6,1,0,0,23,6,P
39,Adrian Houser,6,GS-7,6.0,2025-05-26,32-113,CHW,@,NYM,"L, 1-2",GS-7,6.0,3,0,0,0,0,1,0,6,0,0,0,22,4,P
40,Nick Lodolo,6,GS-5,5.0,2025-05-25,27-109,CIN,,CHC,"L, 8-11",GS-5,5.0,6,3,3,0,1,2,0,6,0,0,1,23,8,P
41,Germán Márquez,6,GS-6,6.0,2025-05-27,30-094,COL,@,CHC,"L, 3-4 (11)",GS-6,6.0,7,2,2,0,0,1,0,6,0,0,0,26,8,P
42,Tylor Megill,6,"GS-6, W",5.2,2025-05-27,29-303,NYM,,CHW,"W, 6-4","GS-6, W",5.2,4,2,2,0,1,4,0,6,0,0,0,24,8,P
43,Chad Patrick,6,GS-5,4.2,2025-05-26,26-285,MIL,,BOS,"W, 3-2",GS-5,4.2,3,0,0,0,0,2,0,6,0,0,0,19,5,P
44,Freddy Peralta,6,GS-5,5.0,2025-05-28,28-358,MIL,,BOS,"W, 6-5 (10)",GS-5,5.0,6,3,3,0,1,3,0,6,0,0,1,24,10,P
45,Ryan Weathers,6,GS-6,5.2,2025-05-26,25-160,MIA,@,SDP,"L, 3-4 (11)",GS-6,5.2,3,2,0,2,0,3,0,6,0,0,0,24,7,P
46,Zack Wheeler,6,"GS-6, L",5.1,2025-05-29 (2),34-364,PHI,,ATL,"L, 3-9","GS-6, L",5.1,4,6,6,0,1,4,0,6,0,0,0,24,8,P
47,Erick Fedde,5,"GS-5, L",5.0,2025-05-26,32-090,STL,@,BAL,"L, 2-5","GS-5, L",5.0,7,5,3,2,1,1,0,5,1,0,0,24,9,P
48,Sonny Gray,5,GS-6,6.0,2025-05-25,35-199,STL,,ARI,"W, 4-3",GS-6,6.0,9,3,3,0,0,0,0,5,0,0,0,27,9,P
