game_date,player,line,odds,predicted_SO,edge,bet_recommendation,confidence
2025-05-28,cade povich,4.5,-137,2.295873357963876,-2.2041266420361243,✅ Under,🔥🔥🔥🔥
2025-05-28,hunter greene,6.5,120,2.0948938477189976,-4.405106152281002,✅ Under,🔥🔥🔥🔥🔥
2025-05-28,kyle hart,3.5,-154,2.242250169558078,-1.257749830441922,✅ Under,🔥🔥
2025-05-28,miles mikolas,3.5,-116,1.610027947335856,-1.889972052664144,✅ Under,🔥🔥🔥
2025-05-28,noah cameron,4.5,-116,2.460897988505747,-2.039102011494253,✅ Under,🔥🔥🔥🔥
2025-05-28,paul skenes,6.5,105,4.046875,-2.453125,✅ Under,🔥🔥🔥🔥
2025-05-28,sandy alcantara,4.5,120,3.535583502891412,-0.964416497108588,✅ Under,🔥
2025-05-28,zac gallen,6.5,112,3.587564655172414,-2.912435344827586,✅ Under,🔥🔥🔥🔥🔥
2025-05-28,zack wheeler,6.5,-141,2.475873357963876,-4.024126642036125,✅ Under,🔥🔥🔥🔥🔥
